experiment,seed,macro_f1,balanced_accuracy,best_epoch,epochs_run,early_stopped,duration_seconds,split_sha256,none_false_positives,status
E2,42,0.849581857175035,0.8025009963772374,18,26,True,584.9152255000008,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,741,completed
E2,52,0.8521363926624516,0.8339915767162454,11,19,True,508.32935080000607,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,635,completed
E2,62,0.8412933803717789,0.8068109244140821,11,19,True,603.494600799997,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,773,completed
E2,72,0.8477328366739076,0.8053723555858059,10,18,True,646.1888092000008,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,631,completed
E2,82,0.852970353771782,0.8685203507189259,10,18,True,655.4109612999964,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,394,completed
E3,42,0.8354614957656429,0.8762279878010465,23,31,True,1118.1155565000008,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,244,completed
E3,52,0.8161484304453336,0.8611215531004129,16,24,True,845.6452393,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,191,completed
E3,62,0.8328881391172496,0.8840970748801449,25,33,True,1178.633427300003,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,170,completed
E3,72,0.8227456878564495,0.8792356870637268,15,23,True,761.9259269000031,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,221,completed
E3,82,0.7965154969115662,0.8433034386869558,7,15,True,572.6674499000001,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,554,completed
E3b,42,0.8557650905432228,0.8565973909452964,23,31,True,1168.8251593000023,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,401,completed
E3b,52,0.8684977500297821,0.8671664354666597,11,19,True,724.9221810000017,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,452,completed
E3b,62,0.8572799540569535,0.855798576066443,23,31,True,1147.8900756000003,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,502,completed
E3b,72,0.8572747242095842,0.8330524118868896,17,25,True,945.2652916000006,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,595,completed
E3b,82,0.8503711650157779,0.8715228844254383,12,20,True,752.1843720999968,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,321,completed
