experiment,seed,macro_f1,balanced_accuracy,best_epoch,epochs_run,early_stopped,duration_seconds,split_sha256,none_false_positives,status
E1,42,0.8477650423476012,0.8104293901617701,26,34,True,568.9464651999951,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,585,completed
E1,52,0.8518150016753604,0.8460955194353175,14,22,True,375.6500636000055,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,455,completed
E1,62,0.8379083058363364,0.7936294109185243,8,16,True,296.0636299999969,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,651,completed
E1,72,0.8436890863010522,0.7923430676306196,10,18,True,294.03778850000526,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,526,completed
E1,82,0.8549356532973206,0.8330990623862254,22,30,True,425.61725480000314,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,550,completed
E2,42,0.849581857175035,0.8025009963772374,18,26,True,584.9152255000008,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,741,completed
E2,52,0.8521363926624516,0.8339915767162454,11,19,True,508.32935080000607,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,635,completed
E2,62,0.8412933803717789,0.8068109244140821,11,19,True,603.494600799997,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,773,completed
E2,72,0.8477328366739076,0.8053723555858059,10,18,True,646.1888092000008,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,631,completed
E2,82,0.852970353771782,0.8685203507189259,10,18,True,655.4109612999964,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,394,completed
E3,42,0.8354614957656429,0.8762279878010465,23,31,True,1118.1155565000008,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,244,completed
E3,52,0.8161484304453336,0.8611215531004129,16,24,True,845.6452393,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,191,completed
E3,62,0.8328881391172496,0.8840970748801449,25,33,True,1178.633427300003,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,170,completed
E3,72,0.8227456878564495,0.8792356870637268,15,23,True,761.9259269000031,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,221,completed
E3,82,0.7965154969115662,0.8433034386869558,7,15,True,572.6674499000001,11fa5f986749f905e6b498b0a40bd4464c0575d6f73fa41215f6269b79f36090,554,completed
